driver_id,first_name,last_name,gender,age,phone,city,vehicle_type,rating,joining_date,status
57,Jennifer,Juarez,Male,23,01192177116,Tanta,Motorcycle,5.0,2022-07-23,Active
58,Laurie,Smith,Female,51,01082651663,Mansoura,Bicycle,4.2,2024-07-03,Active
59,Reginald,Miller,Male,24,01237380599,Alexandria,Bicycle,4.7,2025-05-07,Active
60,Daniel,Smith,Male,29,01115193510,Mansoura,Motorcycle,4.0,2026-02-14,Active
61,Craig,Scott,Female,25,01112185068,Tanta,Bicycle,4.2,2022-08-26,Active
62,Kevin,Phelps,Male,42,01034850013,Giza,Motorcycle,4.7,2023-11-12,Inactive
63,Michelle,Brooks,Male,54,01075119853,Mansoura,Motorcycle,4.6,2023-05-16,Active
64,Mark,Davis,Female,34,01295996073,Ismailia,Scooter,4.0,2023-08-28,On Leave
65,Joseph,Robinson,Female,44,01092104246,Cairo,Car,4.1,2023-11-05,Active
66,Lauren,Rose,Male,22,01279663761,Tanta,Bicycle,4.4,2023-12-18,Active
67,Jason,Merritt,Female,25,01114103280,Mansoura,Motorcycle,4.2,2022-12-20,Active
68,Emily,Rojas,Male,55,01296790417,Assiut,Motorcycle,4.5,2023-09-08,Active
69,Sandy,Wagner,Female,42,01532691381,Alexandria,Motorcycle,4.4,2025-07-24,Active
70,Kayla,Contreras,Female,36,01187846689,Assiut,Car,3.8,2022-08-20,Active
71,Cassie,Johnson,Male,31,01057818795,Cairo,Motorcycle,4.1,2024-12-12,Active
72,Catherine,Williams,Female,34,01249176060,Zagazig,Motorcycle,4.8,2022-08-21,Active
73,John,Singleton,Female,33,01223221511,Ismailia,Bicycle,4.3,2023-10-14,Active
74,Debra,Merritt,Female,26,01066228220,Cairo,Motorcycle,3.8,2024-04-22,Active
75,Andrea,Hurst,Female,33,01214145312,Cairo,Motorcycle,4.4,2022-09-17,Inactive
76,Paul,Jones,Female,38,01294095331,Assiut,Motorcycle,4.0,2024-03-04,Active
77,Justin,Flores,Male,35,01144952192,Giza,Bicycle,4.5,2025-09-12,Active
78,Tara,Wallace,Female,38,01017194807,Assiut,Motorcycle,4.9,2025-02-06,Inactive
79,Marcus,Miller,Female,53,01566404711,Cairo,Motorcycle,4.7,2023-08-03,Active
80,Tina,Taylor,Male,37,01508108458,Cairo,Motorcycle,4.6,2022-08-14,Active
81,Katie,Bell,Female,44,01566031696,Alexandria,Scooter,4.4,2024-11-27,Active
82,Jessica,Walker,Female,50,01245432817,Cairo,Motorcycle,4.3,2023-10-12,Inactive
83,Cindy,Thomas,Female,50,01282378366,Cairo,Scooter,4.4,2025-08-08,Active
84,Barbara,Mitchell,Male,25,01292897355,Cairo,Motorcycle,4.5,2025-11-05,Active
85,Jonathan,Taylor,Male,40,01154378081,Alexandria,Scooter,4.0,2025-09-23,Active
86,Rachael,Young,Male,37,01589694080,Giza,Scooter,4.8,2022-08-01,Active
87,Kimberly,Reynolds,Female,33,01097941989,Alexandria,Scooter,4.1,2025-11-23,Active
88,Rebekah,Carrillo,Female,39,01195160506,Cairo,Motorcycle,4.9,2022-12-19,On Leave
89,Cheryl,Olson,Male,21,01216504766,Cairo,Motorcycle,4.2,2024-10-31,Inactive
90,Howard,Buchanan,Female,46,01040347069,Cairo,Motorcycle,5.0,2023-08-25,Active
91,Jesus,Welch,Male,33,01517887413,Giza,Car,4.8,2025-03-03,Active
92,Aaron,Cox,Male,34,01031421601,Tanta,Motorcycle,4.4,2023-10-13,Active
93,Darryl,Ellis,Female,33,01035315828,Giza,Motorcycle,4.9,2026-06-16,Active
94,Jessica,Richardson,Male,46,01180962622,Tanta,Motorcycle,4.1,2025-02-25,Active
95,Andrew,Kelly,Male,45,01047686763,Cairo,Car,5.0,2022-11-30,Active
96,Bryce,Collins,Female,50,01026297417,Cairo,Motorcycle,3.9,2022-10-21,Active
97,Charles,Huff,Female,31,01266671881,Giza,Scooter,4.3,2024-03-29,Active
98,William,Guzman,Male,28,01192969419,Tanta,Motorcycle,4.1,2023-01-30,Active
99,James,Li,Male,33,01565205791,Cairo,Motorcycle,4.6,2026-05-18,Active
100,Brittney,Sanders,Male,50,01249537451,Zagazig,Scooter,5.0,2024-10-26,On Leave
101,Stacey,Graves,Female,47,01160087563,Cairo,Bicycle,4.6,2025-10-29,Active
102,Gabriel,Wilson,Female,33,01189010300,Giza,Bicycle,3.8,2024-10-28,Active
103,John,Maldonado,Male,43,01262549540,Cairo,Motorcycle,4.5,2025-08-12,Active
104,Jennifer,Suarez,Male,29,01065513157,Giza,Bicycle,4.1,2025-08-10,Inactive
105,Monica,Murphy,Male,29,01164324821,Cairo,Scooter,4.7,2023-10-02,Active
106,Stephanie,Woods,Female,27,01505879344,Giza,Motorcycle,3.9,2023-08-03,Active
107,Anthony,Kim,Male,29,01244080835,Zagazig,Motorcycle,4.5,2024-05-15,Active
108,Michael,Sanchez,Female,35,01242043797,Giza,Scooter,4.2,2026-04-02,Inactive
109,Kathryn,Martin,Female,44,01218791691,Alexandria,Motorcycle,3.9,2024-02-02,Active
110,Jennifer,Farmer,Male,31,01049925020,Tanta,Motorcycle,4.5,2023-02-06,Active
111,Michael,Woodward,Male,26,01262185619,Zagazig,Scooter,3.9,2025-06-06,Active
112,Justin,Choi,Male,53,01248236288,Alexandria,Bicycle,4.7,2023-01-15,Active
113,Lynn,Adams,Female,35,01031317801,Cairo,Scooter,4.3,2022-11-28,Active
114,Jacqueline,Hampton,Female,26,01142195646,Giza,Bicycle,4.5,2024-12-14,Active
115,Nicole,Davidson,Male,37,01157004218,Giza,Motorcycle,3.9,2023-04-25,Active
116,Carla,Smith,Male,53,01551451596,Giza,Motorcycle,4.3,2023-06-23,Active
117,Robert,Young,Male,30,01174269896,Cairo,Motorcycle,4.0,2024-07-14,Inactive
118,Alexander,Jones,Female,50,01270231535,Cairo,Motorcycle,4.9,2023-04-11,Active
119,Adam,Newton,Male,24,01131813852,Giza,Motorcycle,4.0,2022-07-28,Active
120,Dustin,Hoover,Male,52,01530344740,Zagazig,Motorcycle,4.1,2022-10-05,Active
121,Beverly,Peterson,Male,35,01264958097,Giza,Scooter,4.0,2024-04-21,Active
122,William,Bennett,Male,43,01223040592,Sohag,Motorcycle,3.8,2025-04-20,Active
123,Alexandra,Barron,Female,36,01148709836,Cairo,Motorcycle,4.0,2026-06-17,Active
124,Robin,Cox,Male,54,01598366840,Giza,Motorcycle,4.4,2025-04-12,Active
125,Lauren,Benjamin,Female,22,01558789160,Giza,Motorcycle,3.9,2022-08-27,Active
126,Brittany,Bowers,Male,42,01152639751,Cairo,Motorcycle,4.0,2025-06-21,Active
127,Jamie,Lewis,Female,32,01015775966,Giza,Motorcycle,3.9,2022-08-06,Active
128,Jacob,Rivera,Female,46,01090985733,Tanta,Scooter,4.5,2022-08-31,Active
129,Elizabeth,Woods,Male,55,01288647434,Cairo,Motorcycle,4.6,2022-08-04,Active
130,Eric,Hernandez,Male,52,01080409501,Cairo,Bicycle,4.2,2026-01-04,Active
131,Monica,Mason,Female,49,01080464998,Giza,Motorcycle,4.8,2024-01-31,Active
132,Donald,Hicks,Male,39,01262320850,Giza,Motorcycle,4.2,2025-07-29,Active
133,Joshua,Mercer,Male,39,01017550921,Giza,Scooter,4.5,2026-06-28,Active
134,Carlos,Maxwell,Male,24,01546690957,Cairo,Motorcycle,4.7,2023-05-26,Active
135,Juan,Mcclain,Female,24,01285564446,Cairo,Motorcycle,4.0,2026-07-04,Active
136,Jesse,Ford,Male,42,01266488928,Cairo,Motorcycle,3.9,2025-11-11,Active
137,Zachary,Holt,Female,35,01124279039,Cairo,Motorcycle,4.3,2026-01-13,Active
138,Samantha,Salas,Male,54,01048225757,Alexandria,Motorcycle,4.7,2023-04-27,Active
139,James,Jones,Male,22,01122891544,Zagazig,Scooter,4.0,2026-01-10,Inactive
140,Roger,Murray,Female,32,01199352941,Assiut,Bicycle,4.3,2022-11-23,Active
141,Angela,West,Female,43,01541979370,Giza,Car,4.7,2024-09-22,Active
142,Sheena,Logan,Male,48,01043525589,Alexandria,Scooter,4.4,2025-10-09,Active
143,Jennifer,Le,Male,34,01596351773,Zagazig,Motorcycle,4.1,2026-05-14,Inactive
144,Brandi,Frost,Male,47,01043021588,Minya,Motorcycle,4.0,2025-04-03,Active
145,Laura,Fuentes,Female,40,01291875885,Cairo,Motorcycle,4.1,2022-09-27,Active
146,Craig,Tyler,Male,31,01013630009,Alexandria,Scooter,4.6,2024-02-05,Active
147,Richard,Lyons,Male,53,01294597721,Cairo,Motorcycle,3.9,2025-09-26,Active
148,James,Hess,Male,43,01117944742,Mansoura,Motorcycle,4.0,2025-01-23,Active
149,Anthony,Duncan,Female,39,01599268366,Cairo,Scooter,4.6,2022-09-19,Active
150,Amber,Mcguire,Female,39,01289421938,Cairo,Motorcycle,4.9,2026-06-06,Active
151,Daniel,Barnett,Male,32,01130427731,Giza,Motorcycle,4.1,2023-02-09,Active
152,Paula,Williams,Male,52,01104062433,Cairo,Car,4.0,2024-12-13,Active
153,Lauren,Tate,Female,33,01270599696,Cairo,Scooter,4.6,2023-10-10,Active
154,Todd,Berry,Male,38,01529370595,Minya,Car,4.4,2023-11-21,Active
155,Samantha,Velasquez,Male,21,01009178201,Giza,Scooter,3.8,2023-10-07,Inactive
156,Megan,Gutierrez,Female,49,01500932032,Mansoura,Motorcycle,3.8,2023-05-31,Active
157,Christine,Hines,Male,32,01535374778,Giza,Scooter,4.8,2026-03-27,Active
158,Lauren,Nelson,Male,39,01007816616,Cairo,Motorcycle,4.0,2025-04-16,Active
159,Kevin,Smith,Male,26,01019593527,Alexandria,Motorcycle,4.2,2022-11-30,Active
160,Cody,Williams,Female,51,01045097926,Cairo,Car,4.5,2025-05-15,Active
161,Micheal,Patel,Female,43,01140286977,Cairo,Bicycle,4.4,2024-07-05,Active
162,Deanna,Hahn,Female,31,01271382920,Giza,Bicycle,4.0,2025-11-13,Active
163,Ronald,Austin,Female,54,01087203339,Alexandria,Scooter,4.8,2024-11-29,Active
164,Chris,Caldwell,Male,35,01125070992,Cairo,Car,4.9,2023-11-23,Active
165,Gregory,Welch,Male,30,01044612091,Alexandria,Motorcycle,4.8,2023-10-23,Active
166,Zachary,Butler,Male,23,01065040391,Cairo,Motorcycle,4.1,2024-01-08,Active
167,Jeffery,Walter,Male,21,01047145489,Mansoura,Motorcycle,4.8,2026-03-10,Active
168,David,Watkins,Male,28,01028381879,Cairo,Motorcycle,3.8,2025-07-21,Active
169,Ryan,Meza,Female,22,01537406643,Giza,Car,3.8,2023-04-25,Active
170,Stefanie,Quinn,Female,47,01248496604,Minya,Motorcycle,4.1,2025-04-01,Active
171,Shelby,Jones,Female,22,01198607181,Cairo,Motorcycle,4.8,2025-01-02,Active
172,Teresa,Jones,Male,29,01224914729,Giza,Motorcycle,4.4,2024-06-13,Active
173,Marc,Kelly,Male,50,01072505344,Tanta,Car,4.4,2024-05-26,Active
174,Jennifer,Taylor,Male,48,01190310334,Giza,Bicycle,4.8,2024-12-28,Active
175,John,Davis,Male,21,01203094832,Tanta,Motorcycle,4.5,2026-01-29,Active
176,Beth,Stein,Male,22,01271842688,Alexandria,Car,4.0,2022-12-04,Active
177,Karen,Richardson,Female,33,01547411448,Ismailia,Motorcycle,4.8,2024-06-06,Inactive
178,Kathleen,Ferguson,Male,28,01585178293,Giza,Motorcycle,4.1,2025-09-13,Active
179,Caitlin,Fisher,Male,43,01279852370,Cairo,Motorcycle,4.9,2025-10-18,Active
180,Lauren,Soto,Male,23,01283974386,Alexandria,Motorcycle,4.4,2023-11-26,Active
181,Tracy,Evans,Female,55,01063695736,Tanta,Motorcycle,4.8,2025-10-27,Active
182,Erica,Martinez,Female,43,01012755563,Giza,Scooter,3.9,2025-01-11,Active
183,Ashley,Johnson,Male,43,01035341689,Cairo,Motorcycle,4.8,2024-04-06,Active
184,Shannon,Warren,Female,37,01246440424,Giza,Motorcycle,4.5,2025-02-15,Active
185,Kristine,Gonzalez,Female,36,01532703642,Giza,Motorcycle,4.9,2024-03-18,Active
186,Ryan,Williams,Female,41,01085083542,Giza,Motorcycle,4.2,2022-09-29,Inactive
187,William,Walker,Female,43,01236240498,Giza,Scooter,4.1,2022-11-05,Inactive
188,Julie,Lynn,Female,47,01033658952,Alexandria,Motorcycle,4.6,2024-05-16,Active
189,Jeffrey,Murphy,Female,40,01030807501,Alexandria,Scooter,5.0,2024-06-14,Active
190,Jeffrey,Riley,Male,26,01172700054,Giza,Scooter,3.9,2023-10-29,Active
191,Christopher,Bradley,Male,28,01096198215,Zagazig,Bicycle,4.8,2024-09-25,Active
192,David,Gonzalez,Male,21,01232999969,Cairo,Car,5.0,2023-04-16,On Leave
193,Wanda,Watson,Male,52,01118609702,Cairo,Car,3.9,2024-12-01,Inactive
194,Sarah,Silva,Male,38,01165461233,Zagazig,Scooter,4.3,2022-11-29,Active
195,Jesse,Murphy,Male,24,01119572622,Tanta,Bicycle,3.9,2023-01-17,Active
196,Michael,Phillips,Male,26,01517373499,Zagazig,Motorcycle,4.3,2023-12-24,Active
197,Timothy,Thomas,Female,23,01520968964,Mansoura,Motorcycle,4.1,2023-10-03,Active
198,Robert,Smith,Male,49,01066420323,Assiut,Motorcycle,3.8,2025-12-24,Active
199,Lindsay,Lee,Female,40,01093519825,Cairo,Motorcycle,4.3,2023-09-04,Active
200,Ryan,Palmer,Male,31,01075347356,Cairo,Motorcycle,3.9,2024-05-04,Active
201,Andrea,Nielsen,Male,33,01092325833,Cairo,Motorcycle,4.4,2024-03-08,Active
202,Nicholas,Martin,Female,35,01067656774,Alexandria,Motorcycle,4.6,2022-12-14,Active
203,Joshua,Walker,Female,44,01117814066,Cairo,Scooter,4.1,2025-07-08,Active
204,Becky,Barnett,Female,22,01049570366,Cairo,Motorcycle,4.8,2026-03-31,Active
205,Brandon,Hudson,Male,24,01037159975,Cairo,Scooter,4.2,2025-07-13,Inactive
206,Jonathan,Dennis,Female,32,01002112924,Giza,Bicycle,3.9,2023-01-06,Active
207,Matthew,Baker,Female,21,01119591021,Giza,Motorcycle,4.0,2025-01-27,Active
208,Michael,Brown,Male,35,01231391018,Cairo,Scooter,4.8,2025-05-05,On Leave
209,Rebecca,Gray,Female,32,01591343218,Cairo,Scooter,4.8,2023-02-05,Active
210,Kaitlyn,Schwartz,Female,43,01230354954,Cairo,Motorcycle,4.6,2022-10-12,Active
211,Michele,Jones,Female,22,01587096621,Giza,Motorcycle,4.7,2025-08-31,Active
212,Andrew,Hanson,Female,30,01264526399,Mansoura,Motorcycle,4.6,2023-03-31,Active
213,Heather,Brandt,Female,53,01053048321,Giza,Motorcycle,4.4,2025-03-08,Active
214,Randy,Vance,Female,39,01149416314,Giza,Car,4.0,2026-01-03,Active
215,Yvette,Davis,Female,31,01526094827,Ismailia,Bicycle,4.0,2024-03-01,Active
216,Andres,Steele,Male,48,01515787288,Mansoura,Motorcycle,4.2,2023-04-25,Active
217,Robert,Armstrong,Male,30,01060857072,Zagazig,Motorcycle,4.4,2026-07-09,Inactive
218,Pamela,Booker,Male,35,01021659581,Giza,Bicycle,4.9,2026-05-03,Active
219,Barbara,Sandoval,Male,41,01015841010,Cairo,Motorcycle,4.4,2024-06-11,Active
220,Anthony,Green,Male,25,01588772102,Zagazig,Motorcycle,4.6,2024-01-28,Active
221,Patricia,Lopez,Female,21,01073469462,Tanta,Car,4.0,2024-04-08,Active
222,Jennifer,Walker,Male,32,01164305282,Mansoura,Motorcycle,4.5,2025-06-16,Active
223,Jared,Fisher,Male,29,01286648678,Tanta,Motorcycle,3.8,2026-04-06,Active
224,Robert,Chase,Female,35,01108125376,Tanta,Motorcycle,4.0,2023-10-09,Active
225,Jeffrey,Bishop,Female,22,01016396981,Alexandria,Car,4.4,2022-07-18,On Leave
226,Anthony,Wong,Female,33,01018061752,Cairo,Car,4.8,2022-10-07,Active
227,David,Ramirez,Female,33,01284542588,Giza,Motorcycle,4.3,2025-11-05,Active
228,Andrew,Bell,Male,41,01557240751,Tanta,Scooter,4.8,2023-12-10,Active
229,Lisa,Henry,Female,41,01160053063,Alexandria,Motorcycle,4.1,2026-07-06,Active
230,Kevin,Powers,Female,35,01085845116,Cairo,Motorcycle,4.3,2023-07-30,Active
231,Sean,Mullins,Female,51,01553623909,Alexandria,Car,4.2,2022-12-05,Active
232,Deanna,Clark,Female,21,01598467902,Alexandria,Car,4.4,2023-10-13,Active
233,Pamela,Miller,Female,34,01084293565,Giza,Bicycle,4.1,2024-10-06,Active
234,Eric,Robertson,Male,29,01564558257,Zagazig,Scooter,4.8,2025-05-31,Active
235,Dawn,Nguyen,Male,51,01053362772,Giza,Scooter,4.2,2024-05-10,Active
236,Lucas,Hernandez,Male,36,01214295420,Giza,Car,4.7,2026-03-16,Active
237,Courtney,Davis,Female,55,01115071199,Assiut,Scooter,3.9,2023-05-10,Active
238,Linda,Schneider,Female,46,01544712187,Cairo,Scooter,4.7,2025-10-08,Active
239,Kayla,Barber,Female,28,01538366690,Giza,Scooter,4.9,2023-12-04,Active
240,Sarah,Cole,Female,41,01092965537,Cairo,Car,4.5,2023-11-01,Inactive
241,Madison,Hancock,Female,54,01120099305,Cairo,Motorcycle,4.3,2023-08-28,Inactive
242,Kathryn,Smith,Female,55,01520648373,Tanta,Motorcycle,4.5,2024-09-14,Active
243,Katrina,Brewer,Female,41,01583938154,Cairo,Motorcycle,4.7,2025-08-07,Active
244,Angelica,King,Male,24,01289398606,Alexandria,Car,4.1,2023-12-25,Active
245,Melanie,Powell,Female,48,01148228785,Giza,Scooter,4.5,2025-04-09,Active
246,Jermaine,Shea,Female,39,01188492293,Cairo,Scooter,4.5,2023-08-13,Active
247,Katelyn,Osborn,Male,44,01508145141,Cairo,Bicycle,4.8,2023-02-28,Inactive
248,Michele,Smith,Male,53,01132514901,Alexandria,Motorcycle,3.9,2024-01-28,Active
249,Christopher,Stevens,Male,40,01004521755,Mansoura,Motorcycle,4.6,2023-02-08,Active
250,Jason,Daugherty,Female,27,01036269094,Cairo,Motorcycle,4.7,2024-08-17,Active
251,Jennifer,Welch,Female,36,01297804666,Cairo,Motorcycle,4.7,2024-03-20,Active
252,Robin,Edwards,Male,30,01271977637,Cairo,Motorcycle,4.9,2025-12-13,Active
253,Timothy,Jones,Male,43,01559757373,Cairo,Motorcycle,4.2,2023-01-20,Active
254,Courtney,Chen,Male,49,01277238847,Assiut,Motorcycle,4.8,2024-01-07,Active
255,Thomas,Patrick,Male,55,01575358778,Tanta,Motorcycle,4.3,2024-04-17,Active
256,Kevin,Taylor,Male,38,01206620983,Giza,Motorcycle,4.8,2024-07-14,Active
257,James,Cabrera,Female,32,01198990176,Cairo,Car,4.5,2024-03-30,Active
258,Russell,Washington,Male,32,01152002888,Assiut,Scooter,4.6,2024-01-30,Active
259,Daniel,Flores,Female,37,01537726353,Giza,Motorcycle,4.1,2024-10-21,Active
260,Amanda,Stout,Male,25,01037934862,Alexandria,Scooter,4.2,2022-08-30,Active
261,Eric,Parker,Female,44,01200909561,Cairo,Motorcycle,4.5,2024-06-21,Active
262,Melanie,Moore,Female,27,01128069495,Cairo,Motorcycle,4.9,2025-10-07,Active
263,Jonathon,Barnes,Male,34,01133810387,Alexandria,Motorcycle,4.9,2026-04-14,Active
264,Aaron,Caldwell,Female,21,01236250497,Alexandria,Car,4.4,2024-01-25,Inactive
265,Daniel,Simon,Female,53,01012814929,Giza,Motorcycle,4.6,2023-04-14,Active
266,Julian,Finley,Female,22,01544102643,Cairo,Scooter,4.2,2025-09-11,Active
267,Dominique,Howard,Female,43,01186849635,Cairo,Motorcycle,4.0,2023-10-03,Active
268,April,Price,Female,33,01229978575,Minya,Motorcycle,4.0,2022-08-10,Active
269,Lisa,Young,Male,34,01539914149,Giza,Motorcycle,4.0,2023-01-16,Active
270,Jacob,Byrd,Female,35,01117710581,Alexandria,Motorcycle,4.8,2026-06-13,On Leave
271,William,Williams,Male,30,01051738277,Cairo,Bicycle,4.7,2024-08-24,Active
272,Tyrone,Mckinney,Female,40,01078182873,Cairo,Motorcycle,4.7,2026-03-26,Active
273,Allen,Wheeler,Male,22,01006359115,Cairo,Bicycle,4.2,2025-10-17,Inactive
274,Deanna,Adams,Male,30,01145099178,Cairo,Motorcycle,5.0,2025-10-05,Active
275,Donald,Pratt,Female,53,01058393772,Alexandria,Car,4.6,2026-02-07,Active
276,Christina,Lane,Male,47,01240697477,Giza,Motorcycle,4.1,2024-02-04,Active
277,Julia,Mccall,Male,38,01135272507,Assiut,Motorcycle,4.8,2023-12-16,Inactive
278,Catherine,Murphy,Female,29,01266300228,Cairo,Motorcycle,4.7,2023-12-29,Inactive
279,Kristie,Hodges,Male,28,01535657550,Cairo,Motorcycle,4.2,2026-05-14,Inactive
280,Jesus,Johnson,Female,42,01278320209,Ismailia,Scooter,4.8,2025-03-31,Active
281,Jennifer,Farmer,Female,35,01588258078,Cairo,Scooter,4.7,2024-10-28,Active
282,Sharon,Rodriguez,Female,37,01092383553,Alexandria,Bicycle,4.6,2025-05-03,Active
283,Cynthia,Shields,Male,24,01129677903,Alexandria,Motorcycle,5.0,2026-03-29,Active
284,David,Green,Female,40,01524304143,Giza,Motorcycle,3.9,2023-06-13,Active
285,Raymond,Taylor,Male,24,01021411535,Cairo,Bicycle,3.9,2024-08-12,Active
286,Lisa,Chase,Male,27,01539798526,Cairo,Bicycle,4.3,2024-02-03,Active
287,Madeline,Jones,Male,38,01536172502,Giza,Motorcycle,5.0,2024-09-09,Active
288,Katie,Allen,Female,50,01145236920,Tanta,Motorcycle,4.4,2024-01-04,Active
289,Nicole,Stout,Female,52,01176957680,Cairo,Motorcycle,4.4,2023-10-03,Active
290,Michelle,Gutierrez,Male,29,01005045137,Cairo,Motorcycle,3.9,2022-09-25,Active
291,Daryl,Byrd,Male,43,01537564835,Zagazig,Car,4.3,2024-10-20,Active
292,Troy,Patel,Female,39,01160662610,Cairo,Motorcycle,4.6,2024-06-28,On Leave
293,Michele,Arroyo,Female,52,01594539278,Mansoura,Car,4.0,2026-01-29,Inactive
294,Robert,Beasley,Female,33,01057762021,Tanta,Motorcycle,4.1,2023-12-09,Active
295,Dakota,Hurst,Female,24,01147189586,Alexandria,Motorcycle,4.7,2025-10-03,Active
296,Charles,Hawkins,Male,43,01071902032,Tanta,Motorcycle,4.0,2023-08-06,Active
297,Timothy,Brown,Male,28,01127790200,Mansoura,Scooter,4.6,2022-09-01,Active
298,David,Huber,Male,22,01064687493,Zagazig,Motorcycle,4.0,2025-07-21,Inactive
